# Simulation 9 (Up to date)
# 777 data points written for 58 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (26.8 m/s):  "Parachute"
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,3004.3,964.3,0.485,9.528e-4,9.792,NaN,108.28,NaN,0,0,0,0.921,0.828,0.014,0.08,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.894,90,15,1013.25,0.001,340.389,0.006,2.17e5,5.75,25.967,0.01,0.002,0
0.01,0.002,0.002,0.532,0.532,113.037,113.037,-4.145e-7,0,4.145e-7,270,1.049e-4,0.013,28.61,-80.6,74.292,0,0,0,90,0,3002.301,962.301,0.485,9.524e-4,9.792,NaN,108.257,NaN,368.772,12.544,2.441e-4,0.914,0.82,0.014,0.08,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.893,90,15,1013.25,0.001,340.389,0.006,2.252e5,5.75,25.967,0.008,0.003,6.817e-5
0.018,0.011,0.011,1.83,1.83,211.417,211.417,-1.738e-6,0,1.738e-6,270,2.385e-4,0.023,28.61,-80.6,45.953,0,0,0,90,0,3000.701,960.701,0.484,9.522e-4,9.792,NaN,108.239,NaN,663.789,22.591,0.006,0.861,0.767,0.014,0.08,0.538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.892,90,15,1013.249,0.001,340.389,0.008,3.015e5,5.75,25.967,0.01,0.003,2.343e-4
# Event LIFTOFF occurred at t=0.028 seconds
0.028,0.04,0.04,3.992,3.992,221.031,221.031,-8.084e-6,0,8.084e-6,270,0.001,0,28.61,-80.6,25.333,0,0,0,90,0,2996.518,956.518,0.484,9.514e-4,9.792,NaN,108.191,NaN,691.694,23.573,0.029,0.778,0.685,0.014,0.08,0.944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.891,90,15,1013.245,0.001,340.389,0.013,5.059e5,5.75,25.967,0.012,0.004,5.112e-4
0.04,0.104,0.104,6.714,6.714,232.597,232.597,-2.255e-5,0,2.255e-5,270,0.001,0,28.61,-80.6,15.711,0,0,0,90,0,2991.498,951.498,0.483,9.505e-4,9.792,NaN,108.134,NaN,725.18,24.756,0.072,0.716,0.623,0.014,0.08,0.928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.89,90,14.999,1013.238,0.001,340.388,0.02,7.988e5,5.75,25.967,0.01,0.004,8.596e-4
0.05,0.182,0.182,9.017,9.017,228.024,228.024,-3.461e-5,0,3.461e-5,270,0.001,0,28.61,-80.6,11.823,0,0,0,90,0,2987.416,947.416,0.482,9.498e-4,9.792,NaN,108.087,NaN,710.57,24.29,0.114,0.683,0.589,0.014,0.08,0.842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.889,90,14.999,1013.229,0.001,340.388,0.027,1.055e6,5.75,25.967,0.01,0.004,0.001
0.06,0.284,0.284,11.275,11.275,223.437,223.437,-4.667e-5,0,4.667e-5,270,0.001,0,28.61,-80.6,9.543,0,0,0,90,0,2983.334,943.334,0.482,9.49e-4,9.792,NaN,108.039,NaN,695.96,23.823,0.161,0.658,0.565,0.014,0.08,0.775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.897,90,14.998,1013.217,0.001,340.388,0.034,1.309e6,5.75,25.967,0.009,0.005,0.001
0.069,0.393,0.393,13.238,13.238,219.355,219.355,-5.736e-5,0,5.736e-5,270,0.001,0,28.61,-80.6,8.177,0,0,0,90,0,2979.713,939.713,0.481,9.484e-4,9.792,NaN,107.997,NaN,683.002,23.408,0.208,0.642,0.548,0.014,0.08,0.732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.903,90,14.997,1013.204,0.001,340.387,0.039,1.532e6,5.75,25.967,0.008,0.005,0.002
0.076,0.499,0.499,14.882,14.882,215.87,215.87,-6.647e-5,0,6.647e-5,270,0.001,0,28.61,-80.6,7.306,0,0,0,90,0,2976.629,936.629,0.481,9.478e-4,9.792,NaN,107.962,NaN,671.966,23.054,0.252,0.63,0.536,0.014,0.08,0.705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.909,90,14.997,1013.191,0.001,340.387,0.044,1.718e6,5.75,25.967,0.007,0.005,0.002
0.083,0.604,0.604,16.322,16.322,212.763,212.763,-7.457e-5,0,7.457e-5,270,0.001,0,28.61,-80.6,6.685,0,0,0,90,0,2973.886,933.886,0.481,9.473e-4,9.792,NaN,107.93,NaN,662.149,22.738,0.294,0.621,0.527,0.014,0.08,0.685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.914,90,14.996,1013.179,0.001,340.387,0.048,1.882e6,5.75,25.967,0.006,0.006,0.002
0.089,0.708,0.708,17.617,17.617,209.925,209.925,-8.196e-5,0,8.196e-5,270,0.001,0,28.61,-80.6,6.213,0,0,0,90,0,2971.385,931.385,0.48,9.469e-4,9.792,NaN,107.901,NaN,653.198,22.45,0.334,0.613,0.52,0.014,0.08,0.669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.919,90,14.995,1013.167,0.001,340.386,0.052,2.03e6,5.75,25.967,0.006,0.006,0.002
0.095,0.811,0.811,18.801,18.801,207.29,207.29,-8.88e-5,0,8.88e-5,270,0.001,0,28.61,-80.6,5.838,0,0,0,90,0,2969.068,929.068,0.48,9.464e-4,9.792,NaN,107.874,NaN,644.905,22.182,0.373,0.607,0.514,0.014,0.08,0.657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.923,90,14.995,1013.155,0.001,340.386,0.056,2.164e6,5.75,25.967,0.005,0.006,0.002
0.1,0.914,0.914,19.897,19.897,204.817,204.817,-9.521e-5,0,9.521e-5,270,0.001,0,28.61,-80.6,5.529,0,0,0,90,0,2966.897,926.897,0.48,9.461e-4,9.792,NaN,107.848,NaN,637.134,21.931,0.411,0.602,0.509,0.014,0.08,0.647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.927,90,14.994,1013.143,0.001,340.385,0.059,2.289e6,5.75,25.967,0.005,0.007,0.003
# Event LAUNCHROD occurred at t=0.105 seconds
0.105,1.011,1.011,20.862,20.862,202.612,202.612,-1.009e-4,0,1.009e-4,270,0.001,0.398,28.61,-80.6,5.265,0,0,0,90,0,2964.964,924.964,0.479,9.457e-4,9.792,122.944,107.825,2.629,630.216,21.707,0.446,0.598,0.504,0.014,0.08,0.639,1.678,4.412,-2.493e-4,0,0,0,0,0,1.923,90,14.993,1013.131,0.001,340.385,0.062,2.399e6,5.75,25.967,0.007,0.007,0.003
0.112,1.164,1.164,22.298,22.298,201.785,201.786,-1.197e-4,0,1.197e-4,270,0.004,0.416,28.61,-80.6,4.905,0,0.157,5.779e-6,89.999,90.004,2962.378,922.378,0.479,9.452e-4,9.792,123.377,107.795,2.71,627.273,21.624,0.5,0.592,0.498,0.014,0.08,0.628,1.543,4.18,4.816e-4,0,0,0,0,5.734e-5,1.918,90,14.992,1013.114,0.001,340.384,0.066,2.563e6,5.75,25.967,0.011,0.007,0.003
0.123,1.413,1.413,24.441,24.441,200.541,200.542,-1.873e-4,0,1.873e-4,270,0.009,0.434,28.61,-80.6,4.444,0,0.414,-6.04e-6,89.996,90,2958.5,918.5,0.478,9.445e-4,9.792,123.951,107.75,2.818,622.857,21.5,0.586,0.584,0.49,0.014,0.08,0.613,1.374,3.871,-3.297e-4,0,0,0,0,3.348e-4,1.909,90,14.991,1013.084,0.001,340.383,0.072,2.807e6,5.75,25.967,0.016,0.008,0.003
0.139,1.829,1.829,27.631,27.631,198.665,198.666,-3.812e-4,0,3.812e-4,270,0.016,0.439,28.61,-80.6,3.881,0,0.852,1.945e-5,89.986,90,2952.682,912.682,0.478,9.435e-4,9.792,124.68,107.681,2.956,616.235,21.313,0.727,0.573,0.479,0.014,0.08,0.596,1.175,3.473,2.351e-4,0,0,0,0,0.001,1.897,90,14.988,1013.035,0.001,340.382,0.081,3.172e6,5.75,25.967,0.024,0.008,0.004
0.163,2.548,2.548,32.36,32.36,195.828,195.829,-8.8e-4,0,8.8e-4,270,0.026,0.406,28.61,-80.6,3.306,0,1.62,-4.842e-5,89.957,89.999,2943.956,903.956,0.476,9.419e-4,9.792,125.462,107.578,3.11,606.301,21.032,0.964,0.56,0.466,0.014,0.08,0.577,0.979,3.042,4.928e-4,0,0,0,0,0.003,1.92,90,14.983,1012.951,0.001,340.379,0.095,3.712e6,5.75,25.967,0.036,0.008,0.004
0.199,3.837,3.837,39.324,39.324,191.524,191.524,-0.002,0,0.002,270,0.038,0.231,28.61,-80.6,2.744,0,3.054,-5.853e-5,89.874,89.998,2930.866,890.866,0.474,9.396e-4,9.792,126.269,107.421,3.278,591.4,20.607,1.372,0.545,0.45,0.014,0.081,0.556,0.795,2.598,-1.145e-4,0,0,0,0,0.007,2.009,90,14.975,1012.8,0.001,340.374,0.116,4.508e6,5.75,25.967,0.031,0.009,0.005
0.23,5.163,5.163,45.265,45.265,187.727,187.727,-0.003,1.073e-8,0.003,270,0.04,0.12,28.61,-80.6,2.256,0,4.535,-3.949e-5,89.756,89.999,2919.462,879.462,0.473,9.375e-4,9.792,126.999,107.284,3.429,578.417,20.233,1.77,0.535,0.439,0.014,0.081,0.542,0.641,2.186,-4.371e-4,0,0,0,0,0.012,2.017,90,14.966,1012.644,0.001,340.369,0.133,5.187e6,5.75,25.967,0.047,0.009,0.006
0.277,7.497,7.497,54.048,54.048,186.044,186.047,-0.005,4.931e-8,0.005,270.001,0.014,1.079,28.61,-80.6,1.52,0,6.928,2.402e-4,89.486,90,2903.577,863.577,0.47,9.346e-4,9.792,128.162,107.091,3.665,571.074,20.085,2.444,0.522,0.426,0.014,0.082,0.526,0.419,1.517,-1.116e-4,0,0,0,0,0.019,1.933,90,14.951,1012.371,0.001,340.359,0.159,6.191e6,5.75,25.967,0.05,0.01,0.007
0.327,10.431,10.431,63.304,63.304,184.183,184.201,-0.004,5.664e-8,0.004,270.001,0.076,2.587,28.61,-80.6,0.864,3.017e-7,9.14,4.176e-4,89.082,90.001,2886.676,846.676,0.468,9.316e-4,9.792,129.266,106.883,3.893,563.261,19.927,3.27,0.512,0.415,0.015,0.083,0.513,0.232,0.878,1.821e-4,0,0,0,0,0.024,1.893,90,14.932,1012.027,0.001,340.348,0.186,7.248e6,5.75,25.967,0.05,0.01,0.008
0.377,13.826,13.826,72.465,72.466,182.24,182.296,0.004,-1.008e-7,0.004,90.001,0.252,4.522,28.61,-80.6,0.287,0,10.643,9.658e-4,88.583,90.001,2869.775,829.775,0.465,9.285e-4,9.792,130.296,106.673,4.108,555.449,19.766,4.206,0.504,0.405,0.015,0.084,0.504,0.075,0.283,2.709e-4,0,0,0,0,0.025,1.903,90,14.91,1011.628,0.001,340.334,0.213,8.295e6,5.75,25.967,0.05,0.011,0.009
