# Simulation 10 (Up to date)
# 597 data points written for 58 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (26.5 m/s):  "Parachute"
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,2556,516,0.452,8.719e-4,9.792,NaN,104.256,NaN,0,0,0,0.915,0.822,0.014,0.08,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.955,90,15,1013.25,0.001,340.389,0.006,2.239e5,5.75,25.967,0.01,0.002,0
0.01,1.049e-4,1.049e-4,0.048,0.048,16.089,16.089,-5.167e-7,0,5.167e-7,270,1.292e-4,0.016,28.61,-80.6,88.6,0,0,0,90,0,2555.768,515.768,0.452,8.718e-4,9.792,NaN,104.252,NaN,66.146,2.643,2.013e-7,0.915,0.821,0.014,0.08,3.309e-5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.955,90,15,1013.25,0.001,340.389,0.006,2.24e5,5.75,25.967,0.006,0.003,6.12e-6
0.016,7.745e-4,7.745e-4,0.191,0.191,31.62,31.62,-1.572e-6,0,1.572e-6,270,2.226e-4,0.016,28.61,-80.6,84.424,0,0,0,90,0,2555.629,515.629,0.452,8.718e-4,9.792,NaN,104.249,NaN,105.834,4.229,1.226e-5,0.914,0.821,0.014,0.08,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.956,90,15,1013.25,0.001,340.389,0.006,2.25e5,5.75,25.967,0.009,0.004,2.445e-5
0.025,0.004,0.004,0.607,0.607,60.884,60.884,-4.22e-6,0,4.22e-6,270,3.678e-4,0.017,28.61,-80.6,72.755,0,0,0,90,0,2554.999,514.999,0.451,8.717e-4,9.792,NaN,104.237,NaN,180.579,7.218,3.409e-4,0.906,0.813,0.014,0.08,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.956,90,15,1013.25,0.001,340.389,0.006,2.346e5,5.75,25.967,0.004,0.004,7.774e-5
0.029,0.007,0.007,0.877,0.877,73.895,73.895,-5.83e-6,0,5.83e-6,270,4.383e-4,0.018,28.61,-80.6,65.859,0,0,0,90,0,2554.719,514.719,0.451,8.717e-4,9.792,NaN,104.232,NaN,213.799,8.546,9.275e-4,0.897,0.804,0.014,0.08,0.127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.957,90,15,1013.249,0.001,340.389,0.006,2.455e5,5.75,25.967,0.007,0.005,1.123e-4
0.036,0.015,0.015,1.442,1.442,87.545,87.545,-9.382e-6,0,9.382e-6,270,5.822e-4,0.023,28.61,-80.6,53.613,0,0,0,90,0,2554.01,514.01,0.451,8.715e-4,9.792,NaN,104.218,NaN,248.603,9.94,0.003,0.875,0.781,0.014,0.08,0.353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.957,90,15,1013.248,0.001,340.389,0.007,2.784e5,5.75,25.967,0.003,0.005,1.846e-4
0.039,0.019,0.019,1.679,1.679,96.317,96.317,-1.091e-5,0,1.091e-5,270,6.434e-4,0.026,28.61,-80.6,49.358,0,0,0,90,0,2553.723,513.723,0.451,8.715e-4,9.792,NaN,104.213,NaN,270.978,10.836,0.005,0.864,0.771,0.014,0.08,0.452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.957,90,15,1013.248,0.001,340.389,0.008,2.953e5,5.75,25.967,0.004,0.005,2.15e-4
# Event LIFTOFF occurred at t=0.042 seconds
0.042,0.026,0.026,2.039,2.039,95.29,95.29,-1.352e-5,0,1.352e-5,270,8.047e-4,0,28.61,-80.6,43.823,0,0,0,90,0,2553.293,513.293,0.451,8.714e-4,9.792,NaN,104.205,NaN,268.314,10.732,0.007,0.848,0.755,0.014,0.08,0.587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.957,90,15,1013.247,0.001,340.389,0.008,3.236e5,5.75,25.967,0.006,0.006,2.61e-4
0.048,0.039,0.039,2.57,2.57,93.75,93.75,-1.805e-5,0,1.805e-5,270,8.047e-4,0,28.61,-80.6,37.284,0,0,0,90,0,2552.647,512.647,0.451,8.713e-4,9.792,NaN,104.193,NaN,264.319,10.574,0.012,0.826,0.733,0.014,0.08,0.742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.958,90,15,1013.245,0.001,340.389,0.009,3.7e5,5.75,25.967,0.008,0.006,3.291e-4
0.056,0.064,0.064,3.352,3.352,91.437,91.437,-2.484e-5,0,2.484e-5,270,8.047e-4,0,28.61,-80.6,30.206,0,0,0,90,0,2551.678,511.678,0.451,8.711e-4,9.792,NaN,104.174,NaN,258.326,10.339,0.021,0.798,0.705,0.014,0.08,0.879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.952,90,15,1013.242,0.001,340.389,0.011,4.442e5,5.75,25.967,0.009,0.006,4.291e-4
0.065,0.097,0.097,4.136,4.136,89.054,89.054,-3.183e-5,0,3.183e-5,270,8.047e-4,0,28.61,-80.6,25.166,0,0,0,90,0,2550.68,510.68,0.45,8.709e-4,9.792,NaN,104.155,NaN,252.155,10.096,0.031,0.773,0.68,0.014,0.08,0.941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.944,90,14.999,1013.239,0.001,340.389,0.013,5.233e5,5.75,25.967,0.01,0.007,5.295e-4
