# Simulation 1 (Up to date)
# 483 data points written for 58 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (25.8 m/s):  "Parachute"
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,2396,356,0.428,8.43e-4,9.792,NaN,101.785,NaN,0,0,0,0.88,0.787,0.014,0.08,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.353,90,15,1013.25,0.001,340.389,0.007,2.695e5,5.75,25.967,0.011,0.022,0
0.011,4.153e-4,4.153e-4,0.131,0.131,30.387,30.387,-9.893e-7,0,9.893e-7,270,2.245e-4,0.024,28.61,-80.6,86.778,0,0,0,90,0,2395.714,355.714,0.428,8.43e-4,9.792,NaN,101.779,NaN,96.257,4.103,3.305e-6,0.882,0.789,0.014,0.08,3.813e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.331,90,15,1013.25,0.001,340.389,0.007,2.673e5,5.75,25.967,0.01,0.035,1.68e-5
0.021,0.003,0.003,0.409,0.409,25.242,25.242,-4.453e-6,0,4.453e-6,270,4.685e-4,0.025,28.61,-80.6,79.952,0,0,0,90,0,2395.238,355.238,0.428,8.429e-4,9.792,NaN,101.768,NaN,83.916,3.578,9.378e-5,0.881,0.788,0.014,0.08,0.011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.311,90,15,1013.25,0.001,340.389,0.007,2.687e5,5.75,25.967,0.003,0.038,5.241e-5
0.024,0.005,0.005,0.483,0.483,23.699,23.699,-5.968e-6,0,5.968e-6,270,5.422e-4,0.025,28.61,-80.6,78.167,0,0,0,90,0,2395.096,355.096,0.428,8.428e-4,9.792,NaN,101.764,NaN,80.214,3.42,1.51e-4,0.88,0.787,0.014,0.08,0.017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.305,90,15,1013.249,0.001,340.389,0.007,2.696e5,5.75,25.967,0.005,0.041,6.181e-5
0.029,0.007,0.007,0.603,0.603,29.732,29.732,-8.659e-6,0,8.659e-6,270,6.539e-4,0.025,28.61,-80.6,75.28,0,0,0,90,0,2394.804,354.804,0.428,8.428e-4,9.792,NaN,101.757,NaN,94.653,4.036,2.848e-4,0.879,0.786,0.014,0.08,0.032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.296,90,15,1013.249,0.001,340.389,0.007,2.718e5,5.75,25.967,0.007,0.042,7.72e-5
0.035,0.012,0.012,0.834,0.834,38.784,38.784,-1.365e-5,0,1.365e-5,270,8.258e-4,0.026,28.61,-80.6,69.916,0,0,0,90,0,2394.366,354.366,0.428,8.427e-4,9.792,NaN,101.747,NaN,116.31,4.961,7.056e-4,0.875,0.781,0.014,0.08,0.075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.282,90,15,1013.249,0.001,340.389,0.007,2.782e5,5.75,25.967,0.01,0.045,1.068e-4
# Event LIFTOFF occurred at t=0.045 seconds
0.045,0.022,0.022,1.289,1.289,52.201,52.201,-2.326e-5,0,2.326e-5,270,0.001,0,28.61,-80.6,60.314,0,0,0,90,0,2393.717,353.717,0.428,8.426e-4,9.792,NaN,101.732,NaN,148.396,6.331,0.002,0.863,0.769,0.014,0.08,0.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.262,90,15,1013.247,0.001,340.389,0.008,2.981e5,5.75,25.967,0.004,0.048,1.651e-4
0.049,0.027,0.027,1.494,1.494,57.234,57.234,-2.738e-5,0,2.738e-5,270,0.001,0,28.61,-80.6,56.455,0,0,0,90,0,2393.473,353.473,0.428,8.426e-4,9.792,NaN,101.726,NaN,160.428,6.845,0.003,0.856,0.763,0.014,0.08,0.283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.255,90,15,1013.247,0.001,340.389,0.008,3.097e5,5.75,25.967,0.006,0.05,1.913e-4
0.055,0.037,0.037,1.808,1.808,54.279,54.279,-3.358e-5,0,3.358e-5,270,0.001,0,28.61,-80.6,51.259,0,0,0,90,0,2393.011,353.011,0.427,8.425e-4,9.792,NaN,101.716,NaN,153.328,6.543,0.005,0.845,0.752,0.014,0.08,0.395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.254,90,15,1013.246,0.001,340.389,0.008,3.309e5,5.75,25.967,0.007,0.053,2.315e-4
