# Simulation 7 (Up to date)
# 718 data points written for 58 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (26.3 m/s):  "Parachute"
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,2682,642,0.467,8.946e-4,9.792,NaN,105.879,NaN,0,0,0,0.905,0.812,0.014,0.08,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.053,90,15,1013.25,0.001,340.389,0.006,2.352e5,5.75,25.967,0.007,0.002,0
0.007,9.595e-4,9.595e-4,0.423,0.423,127.3,127.3,-2.708e-7,0,2.708e-7,270,9.745e-5,0.017,28.61,-80.6,78.412,0,0,0,90,0,2681.301,641.301,0.467,8.945e-4,9.792,NaN,105.868,NaN,367.585,14,1.162e-4,0.901,0.808,0.014,0.08,0.017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.061,90,15,1013.25,0.001,340.389,0.006,2.41e5,5.75,25.967,0.01,0.003,5.412e-5
0.017,0.011,0.011,1.635,1.635,115.204,115.204,-2.219e-6,0,2.219e-6,270,3.073e-4,0.026,28.61,-80.6,51.725,0,0,0,90,0,2679.42,639.42,0.466,8.942e-4,9.792,NaN,105.837,NaN,334.923,12.765,0.004,0.86,0.767,0.014,0.08,0.391,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.073,90,15,1013.249,0.001,340.389,0.008,3.023e5,5.75,25.967,0.003,0.003,2.094e-4
0.02,0.017,0.017,1.975,1.975,111.572,111.572,-3.266e-6,0,3.266e-6,270,3.923e-4,0.031,28.61,-80.6,46.419,0,0,0,90,0,2678.856,638.856,0.466,8.941e-4,9.792,NaN,105.828,NaN,325.124,12.394,0.007,0.846,0.753,0.014,0.08,0.517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.076,90,15,1013.248,0.001,340.389,0.008,3.282e5,5.75,25.967,0.004,0.004,2.529e-4
# Event LIFTOFF occurred at t=0.025 seconds
0.025,0.027,0.027,2.479,2.479,112.476,112.476,-6.008e-6,0,6.008e-6,270,9.035e-4,0,28.61,-80.6,39.997,0,0,0,90,0,2678.027,638.027,0.466,8.939e-4,9.792,NaN,105.814,NaN,327.449,12.487,0.011,0.826,0.733,0.014,0.08,0.671,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.081,90,15,1013.247,0.001,340.389,0.01,3.707e5,5.75,25.967,0.007,0.004,3.175e-4
0.031,0.046,0.046,3.243,3.243,113.833,113.833,-1.211e-5,0,1.211e-5,270,9.035e-4,0,28.61,-80.6,32.773,0,0,0,90,0,2676.784,636.784,0.466,8.937e-4,9.792,NaN,105.794,NaN,330.937,12.626,0.02,0.799,0.705,0.014,0.08,0.824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.089,90,15,1013.245,0.001,340.389,0.011,4.418e5,5.75,25.967,0.01,0.005,4.153e-4
0.041,0.084,0.084,4.392,4.392,115.844,115.844,-2.114e-5,0,2.114e-5,270,9.035e-4,0,28.61,-80.6,25.549,0,0,0,90,0,2674.942,634.942,0.466,8.934e-4,9.792,NaN,105.763,NaN,336.104,12.832,0.035,0.764,0.671,0.014,0.08,0.924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1,90,14.999,1013.24,0.001,340.389,0.014,5.575e5,5.75,25.967,0.01,0.005,5.623e-4
0.051,0.134,0.134,5.56,5.56,117.857,117.857,-3.018e-5,0,3.018e-5,270,9.035e-4,0,28.61,-80.6,20.785,0,0,0,90,0,2673.1,633.1,0.465,8.93e-4,9.792,NaN,105.733,NaN,341.272,13.038,0.053,0.737,0.644,0.014,0.08,0.944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.111,90,14.999,1013.234,0.001,340.388,0.017,6.811e5,5.75,25.967,0.01,0.005,7.119e-4
0.061,0.196,0.196,6.749,6.749,119.871,119.871,-3.921e-5,0,3.921e-5,270,9.035e-4,0,28.61,-80.6,17.439,0,0,0,90,0,2671.259,631.259,0.465,8.927e-4,9.792,NaN,105.703,NaN,346.439,13.244,0.074,0.715,0.621,0.014,0.08,0.929,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.121,90,14.999,1013.227,0.001,340.388,0.021,8.102e5,5.75,25.967,0.01,0.01,8.641e-4
