# Simulation 11 (Up to date)
# 668 data points written for 58 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (26.3 m/s):  "Parachute"
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,2671,631,0.465,8.926e-4,9.792,NaN,105.708,NaN,0,0,0,0.912,0.818,0.014,0.08,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.987,90,15,1013.25,0.001,340.389,0.006,2.276e5,5.75,25.967,0.01,0.002,0
0.01,6.023e-4,6.023e-4,0.197,0.197,45.936,45.936,-5.185e-7,0,5.185e-7,270,1.301e-4,0.016,28.61,-80.6,84.396,0,0,0,90,0,2670.28,630.28,0.465,8.925e-4,9.792,NaN,105.696,NaN,148.809,5.691,1.304e-5,0.909,0.816,0.014,0.08,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.008,90,15,1013.25,0.001,340.389,0.006,2.311e5,5.75,25.967,0.008,0.003,2.522e-5
0.018,0.004,0.004,0.743,0.743,90.54,90.54,-2.082e-6,0,2.082e-6,270,2.636e-4,0.018,28.61,-80.6,69.853,0,0,0,90,0,2669.704,629.704,0.465,8.924e-4,9.792,NaN,105.687,NaN,267.857,10.246,5.748e-4,0.896,0.803,0.014,0.08,0.078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.025,90,15,1013.25,0.001,340.389,0.006,2.47e5,5.75,25.967,0.01,0.003,9.512e-5
0.028,0.016,0.016,1.691,1.691,99.138,99.138,-5.732e-6,0,5.732e-6,270,4.806e-4,0.027,28.61,-80.6,50.422,0,0,0,90,0,2667.994,627.994,0.464,8.921e-4,9.792,NaN,105.658,NaN,290.631,11.124,0.005,0.859,0.766,0.014,0.08,0.422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.046,90,15,1013.248,0.001,340.389,0.008,3.04e5,5.75,25.967,0.01,0.004,2.165e-4
# Event LIFTOFF occurred at t=0.038 seconds
0.038,0.038,0.038,2.726,2.726,107.746,107.746,-1.522e-5,0,1.522e-5,270,0.002,0,28.61,-80.6,37.163,0,0,0,90,0,2666.284,626.284,0.464,8.918e-4,9.792,NaN,105.63,NaN,313.405,12.004,0.014,0.817,0.724,0.014,0.08,0.737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.068,90,15,1013.246,0.001,340.389,0.01,3.917e5,5.75,25.967,0.01,0.004,3.49e-4
0.048,0.071,0.071,3.846,3.846,116.364,116.364,-3.122e-5,0,3.122e-5,270,0.002,0,28.61,-80.6,28.49,0,0,0,90,0,2664.574,624.574,0.464,8.915e-4,9.792,NaN,105.602,NaN,336.179,12.884,0.027,0.78,0.687,0.014,0.08,0.893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.089,90,15,1013.242,0.001,340.389,0.013,5.012e5,5.75,25.967,0.01,0.004,4.925e-4
0.058,0.115,0.115,5.053,5.053,124.99,124.99,-4.722e-5,0,4.722e-5,270,0.002,0,28.61,-80.6,22.411,0,0,0,90,0,2662.864,622.864,0.463,8.912e-4,9.792,NaN,105.573,NaN,358.952,13.766,0.045,0.748,0.655,0.014,0.08,0.944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.085,90,14.999,1013.236,0.001,340.388,0.016,6.26e5,5.75,25.967,0.004,0.005,6.47e-4
0.062,0.137,0.137,5.56,5.56,128.444,128.444,-5.362e-5,0,5.362e-5,270,0.002,0,28.61,-80.6,20.511,0,0,0,90,0,2662.18,622.18,0.463,8.911e-4,9.792,NaN,105.562,NaN,368.062,14.119,0.053,0.737,0.644,0.014,0.08,0.946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.082,90,14.999,1013.234,0.001,340.388,0.017,6.799e5,5.75,25.967,0.006,0.005,7.119e-4
0.068,0.172,0.172,6.333,6.333,129.157,129.157,-6.322e-5,0,6.322e-5,270,0.002,0,28.61,-80.6,18.134,0,0,0,90,0,2660.908,620.908,0.463,8.908e-4,9.792,NaN,105.541,NaN,369.796,14.192,0.066,0.722,0.629,0.014,0.08,0.938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.076,90,14.999,1013.23,0.001,340.388,0.02,7.632e5,5.75,25.967,0.009,0.006,8.108e-4
