# Simulation 2 (Up to date)
# 484 data points written for 58 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (25.8 m/s):  "Parachute"
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,2405,365,0.429,8.446e-4,9.792,NaN,101.927,NaN,0,0,0,0.88,0.787,0.014,0.08,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.353,90,15,1013.25,0.001,340.389,0.007,2.695e5,5.75,25.967,0.01,0.002,0
0.01,3.358e-4,3.358e-4,0.117,0.117,29.943,29.943,-8.216e-7,0,8.216e-7,270,2.054e-4,0.025,28.61,-80.6,87.146,0,0,0,90,0,2404.395,364.395,0.429,8.445e-4,9.792,NaN,101.913,NaN,95.539,4.058,2.334e-6,0.88,0.787,0.014,0.08,2.655e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.349,90,15,1013.25,0.001,340.389,0.007,2.693e5,5.75,25.967,0.01,0.003,1.499e-5
0.02,0.004,0.004,0.615,0.615,69.698,69.698,-4.119e-6,0,4.119e-6,270,4.566e-4,0.026,28.61,-80.6,75.291,0,0,0,90,0,2403.789,363.789,0.429,8.444e-4,9.792,NaN,101.899,NaN,191.079,8.118,2.951e-4,0.875,0.782,0.014,0.08,0.032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.344,90,15,1013.25,0.001,340.389,0.007,2.775e5,5.75,25.967,0.004,0.004,7.877e-5
0.024,0.007,0.007,0.969,0.969,87.59,87.59,-6.444e-6,0,6.444e-6,270,5.784e-4,0.028,28.61,-80.6,67.518,0,0,0,90,0,2403.517,363.517,0.429,8.444e-4,9.792,NaN,101.893,NaN,234.061,9.945,0.001,0.867,0.774,0.014,0.08,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.342,90,15,1013.249,0.001,340.389,0.007,2.903e5,5.75,25.967,0.007,0.004,1.241e-4
0.031,0.016,0.016,1.568,1.568,89.817,89.817,-1.103e-5,0,1.103e-5,270,7.882e-4,0.034,28.61,-80.6,56.163,0,0,0,90,0,2402.658,362.658,0.429,8.442e-4,9.792,NaN,101.873,NaN,239.33,10.172,0.004,0.849,0.756,0.014,0.08,0.287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.339,90,15,1013.248,0.001,340.389,0.008,3.224e5,5.75,25.967,0.01,0.005,2.007e-4
# Event LIFTOFF occurred at t=0.041 seconds
0.041,0.036,0.036,2.482,2.482,93.118,93.118,-2.084e-5,0,2.084e-5,270,0.001,0,28.61,-80.6,43.228,0,0,0,90,0,2401.386,361.386,0.428,8.44e-4,9.792,NaN,101.844,NaN,247.138,10.51,0.011,0.818,0.725,0.014,0.08,0.581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.335,90,15,1013.246,0.001,340.389,0.01,3.902e5,5.75,25.967,0.01,0.005,3.178e-4
0.051,0.066,0.066,3.43,3.43,96.421,96.421,-3.504e-5,0,3.504e-5,270,0.001,0,28.61,-80.6,34.195,0,0,0,90,0,2400.114,360.114,0.428,8.438e-4,9.792,NaN,101.815,NaN,254.945,10.848,0.021,0.788,0.695,0.014,0.08,0.781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.332,90,15,1013.242,0.001,340.389,0.012,4.75e5,5.75,25.967,0.004,0.006,4.392e-4
0.055,0.079,0.079,3.796,3.796,97.667,97.667,-4.039e-5,0,4.039e-5,270,0.001,0,28.61,-80.6,31.586,0,0,0,90,0,2399.634,359.634,0.428,8.437e-4,9.792,NaN,101.804,NaN,257.888,10.975,0.026,0.777,0.684,0.014,0.08,0.828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.335,90,14.999,1013.241,0.001,340.389,0.013,5.103e5,5.75,25.967,0.006,0.007,4.86e-4
0.061,0.102,0.102,4.371,4.371,105.896,105.896,-4.842e-5,0,4.842e-5,270,0.001,0,28.61,-80.6,28.15,0,0,0,90,0,2398.718,358.718,0.428,8.435e-4,9.792,NaN,101.783,NaN,277.538,11.816,0.034,0.762,0.669,0.014,0.08,0.878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.34,90,14.999,1013.238,0.001,340.388,0.015,5.678e5,5.75,25.967,0.008,0.007,5.597e-4
0.069,0.143,0.143,5.322,5.322,118.251,118.251,-6.046e-5,0,6.046e-5,270,0.001,0,28.61,-80.6,23.793,0,0,0,90,0,2397.345,357.345,0.427,8.433e-4,9.792,NaN,101.751,NaN,307.012,13.078,0.049,0.74,0.647,0.014,0.08,0.918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.348,90,14.999,1013.233,0.001,340.388,0.017,6.661e5,5.75,25.967,0.01,0.008,6.813e-4
0.079,0.203,0.203,6.577,6.577,132.836,132.836,-7.466e-5,0,7.466e-5,270,0.001,0,28.61,-80.6,19.702,0,0,0,90,0,2395.724,355.724,0.427,8.43e-4,9.792,NaN,101.714,NaN,341.769,14.569,0.072,0.716,0.623,0.014,0.08,0.924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.357,90,14.999,1013.226,0.001,340.388,0.021,8.001e5,5.75,25.967,0.008,0.009,8.421e-4
0.087,0.257,0.257,7.645,7.645,144.093,144.093,-8.561e-5,0,8.561e-5,270,0.001,0,28.61,-80.6,17.169,0,0,0,90,0,2394.475,354.475,0.426,8.427e-4,9.792,NaN,101.685,NaN,368.567,15.719,0.093,0.699,0.606,0.014,0.08,0.909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.363,90,14.998,1013.22,0.001,340.388,0.024,9.164e5,5.75,25.967,0.01,0.009,9.788e-4
0.097,0.341,0.341,9.1,9.1,147.076,147.076,-9.981e-5,0,9.981e-5,270,0.001,0,28.61,-80.6,14.601,0,0,0,90,0,2392.533,352.533,0.426,8.424e-4,9.792,NaN,101.64,NaN,375.436,16.025,0.123,0.68,0.587,0.014,0.08,0.873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.372,90,14.998,1013.21,0.001,340.388,0.028,1.077e6,5.75,25.967,0.01,0.01,0.001
