# Simulation 3 (Up to date)
# 485 data points written for 58 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (25.8 m/s):  "Parachute"
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,2389.44,349.44,0.426,8.418e-4,9.792,NaN,101.63,NaN,0,0,0,0.899,0.805,0.014,0.08,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.13,90,15,1013.25,0.001,340.389,0.006,2.439e5,5.75,25.967,0.01,0.001,0
0.01,4.5e-4,4.5e-4,0.151,0.151,36.801,36.801,-6.586e-7,0,6.586e-7,270,1.644e-4,0.02,28.61,-80.6,85.894,0,0,0,90,0,2388.656,348.656,0.426,8.417e-4,9.792,NaN,101.612,NaN,111.296,4.758,5.668e-6,0.9,0.807,0.014,0.08,7.977e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.108,90,15,1013.25,0.001,340.389,0.006,2.421e5,5.75,25.967,0.01,0.002,1.938e-5
0.02,0.005,0.005,0.752,0.752,83.425,83.425,-3.296e-6,0,3.296e-6,270,3.66e-4,0.021,28.61,-80.6,70.168,0,0,0,90,0,2387.872,347.872,0.426,8.415e-4,9.792,NaN,101.594,NaN,222.592,9.52,5.788e-4,0.891,0.798,0.014,0.08,0.074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.087,90,15,1013.249,0.001,340.389,0.007,2.54e5,5.75,25.967,0.008,0.003,9.634e-5
0.028,0.014,0.014,1.569,1.569,120.745,120.745,-6.965e-6,0,6.965e-6,270,5.607e-4,0.029,28.61,-80.6,52.821,0,0,0,90,0,2387.245,347.245,0.426,8.414e-4,9.792,NaN,101.579,NaN,311.629,13.331,0.004,0.863,0.77,0.014,0.08,0.366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.069,90,15,1013.248,0.001,340.389,0.008,2.974e5,5.75,25.967,0.01,0.004,2.009e-4
# Event LIFTOFF occurred at t=0.038 seconds
0.038,0.035,0.035,2.791,2.791,123.684,123.684,-1.778e-5,0,1.778e-5,270,0.002,0,28.61,-80.6,36.24,0,0,0,90,0,2385.577,345.577,0.425,8.411e-4,9.792,NaN,101.54,NaN,318.432,13.632,0.014,0.815,0.722,0.014,0.08,0.758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.048,90,15,1013.246,0.001,340.389,0.01,3.964e5,5.75,25.967,0.01,0.005,3.574e-4
0.048,0.07,0.07,4.043,4.043,126.625,126.625,-3.584e-5,0,3.584e-5,270,0.002,0,28.61,-80.6,26.598,0,0,0,90,0,2383.908,343.908,0.425,8.408e-4,9.792,NaN,101.501,NaN,325.235,13.933,0.03,0.775,0.682,0.014,0.08,0.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.026,90,15,1013.242,0.001,340.389,0.013,5.178e5,5.75,25.967,0.01,0.005,5.176e-4
0.058,0.116,0.116,5.324,5.324,129.568,129.568,-5.391e-5,0,5.391e-5,270,0.002,0,28.61,-80.6,20.906,0,0,0,90,0,2382.239,342.239,0.424,8.405e-4,9.792,NaN,101.462,NaN,332.039,14.234,0.049,0.743,0.65,0.014,0.08,0.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.035,90,14.999,1013.236,0.001,340.388,0.017,6.527e5,5.75,25.967,0.01,0.006,6.816e-4
0.068,0.176,0.176,6.634,6.634,132.514,132.514,-7.197e-5,0,7.197e-5,270,0.002,0,28.61,-80.6,17.177,0,0,0,90,0,2380.571,340.571,0.424,8.402e-4,9.792,NaN,101.422,NaN,338.842,14.536,0.071,0.717,0.624,0.014,0.08,0.932,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.053,90,14.999,1013.229,0.001,340.388,0.02,7.953e5,5.75,25.967,0.01,0.006,8.494e-4
0.078,0.249,0.249,7.974,7.974,135.463,135.463,-9.004e-5,0,9.004e-5,270,0.002,0,28.61,-80.6,14.538,0,0,0,90,0,2378.902,338.902,0.423,8.399e-4,9.792,NaN,101.383,NaN,345.645,14.838,0.096,0.696,0.603,0.014,0.08,0.893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.07,90,14.998,1013.221,0.001,340.388,0.024,9.435e5,5.75,25.967,0.009,0.006,0.001
0.087,0.326,0.326,9.205,9.205,138.12,138.12,-1.063e-4,0,1.063e-4,270,0.002,0,28.61,-80.6,12.752,0,0,0,90,0,2377.401,337.401,0.422,8.397e-4,9.792,NaN,101.348,NaN,351.768,15.11,0.121,0.68,0.587,0.014,0.08,0.852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.085,90,14.998,1013.212,0.001,340.388,0.028,1.081e6,5.75,25.967,0.01,0.007,0.001
0.097,0.425,0.425,10.586,10.586,138.029,138.029,-1.244e-4,0,1.244e-4,270,0.002,0,28.61,-80.6,11.222,0,0,0,90,0,2375.638,335.638,0.422,8.393e-4,9.792,NaN,101.306,NaN,351.319,15.102,0.15,0.665,0.571,0.014,0.08,0.811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.102,90,14.997,1013.2,0.001,340.387,0.032,1.236e6,5.75,25.967,0.009,0.007,0.001
0.106,0.532,0.532,11.889,11.889,137.941,137.941,-1.414e-4,0,1.414e-4,270,0.002,0,28.61,-80.6,10.121,0,0,0,90,0,2373.973,333.973,0.421,8.39e-4,9.792,NaN,101.267,NaN,350.895,15.095,0.18,0.652,0.559,0.014,0.08,0.778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.124,90,14.997,1013.188,0.001,340.387,0.035,1.383e6,5.75,25.967,0.008,0.008,0.002
0.115,0.636,0.636,13.049,13.049,137.862,137.862,-1.566e-4,0,1.566e-4,270,0.002,0,28.61,-80.6,9.332,0,0,0,90,0,2372.49,332.49,0.421,8.388e-4,9.792,NaN,101.232,NaN,350.517,15.088,0.21,0.643,0.549,0.014,0.08,0.753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.146,90,14.996,1013.175,0.001,340.386,0.039,1.515e6,5.75,25.967,0.008,0.008,0.002
0.123,0.741,0.741,14.105,14.105,137.789,137.789,-1.705e-4,0,1.705e-4,270,0.002,0,28.61,-80.6,8.724,0,0,0,90,0,2371.139,331.139,0.42,8.385e-4,9.792,NaN,101.2,NaN,350.173,15.082,0.238,0.635,0.542,0.014,0.08,0.734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.166,90,14.995,1013.163,0.001,340.386,0.042,1.634e6,5.75,25.967,0.007,0.009,0.002
0.13,0.844,0.844,15.082,15.082,137.721,137.721,-1.833e-4,0,1.833e-4,270,0.002,0,28.61,-80.6,8.236,0,0,0,90,0,2369.889,329.889,0.42,8.383e-4,9.792,NaN,101.17,NaN,349.855,15.076,0.265,0.628,0.535,0.014,0.08,0.718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.185,90,14.995,1013.151,0.001,340.386,0.045,1.745e6,5.75,25.967,0.007,0.009,0.002
0.136,0.947,0.947,15.995,15.995,137.657,137.657,-1.952e-4,0,1.952e-4,270,0.002,0,28.61,-80.6,7.833,0,0,0,90,0,2368.721,328.721,0.42,8.381e-4,9.792,NaN,101.142,NaN,349.557,15.07,0.292,0.623,0.529,0.014,0.08,0.705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.202,90,14.994,1013.139,0.001,340.385,0.047,1.849e6,5.75,25.967,0.006,0.01,0.002
# Event LAUNCHROD occurred at t=0.142 seconds
0.142,1.05,1.05,16.855,16.855,137.595,137.596,-2.065e-4,0,2.065e-4,270,0.002,0.503,28.61,-80.6,7.493,0,0,0,90,0,2367.618,327.618,0.419,8.379e-4,9.792,120.513,101.116,3.373,349.276,15.065,0.319,0.617,0.524,0.014,0.08,0.694,2.58,8.704,1.491e-4,0,0,0,0,0,2.219,90,14.993,1013.127,0.001,340.385,0.05,1.947e6,5.75,25.967,0.005,0.01,0.002
0.147,1.127,1.127,17.476,17.476,137.551,137.552,-2.198e-4,0,2.198e-4,270,0.004,0.519,28.61,-80.6,7.26,0,0.145,0,90,90,2366.824,326.824,0.419,8.377e-4,9.792,120.748,101.097,3.418,349.074,15.062,0.339,0.614,0.521,0.014,0.08,0.686,2.481,8.478,4.322e-4,0,0,0,0,7.935e-5,2.231,90,14.993,1013.118,0.001,340.384,0.052,2.018e6,5.75,25.967,0.007,0.011,0.002
0.154,1.248,1.248,18.405,18.405,137.471,137.473,-2.596e-4,0,2.596e-4,270,0.008,0.534,28.61,-80.6,6.884,0,0.374,0,89.998,90,2365.641,325.641,0.419,8.375e-4,9.792,121.138,101.069,3.49,348.742,15.055,0.369,0.609,0.516,0.014,0.08,0.675,2.322,8.105,4.738e-4,0,0,0,0,4.781e-4,2.23,90,14.992,1013.104,0.001,340.384,0.054,2.123e6,5.75,25.967,0.01,0.011,0.002
0.164,1.442,1.442,19.799,19.799,137.351,137.352,-3.651e-4,0,3.651e-4,270,0.013,0.541,28.61,-80.6,6.32,0,0.741,1.712e-6,89.992,90,2363.868,323.868,0.418,8.372e-4,9.792,121.743,101.027,3.603,348.243,15.045,0.416,0.602,0.509,0.014,0.08,0.659,2.091,7.532,-1.996e-5,0,0,0,0,0.002,2.209,90,14.991,1013.081,0.001,340.383,0.059,2.281e6,5.75,25.967,0.015,0.012,0.003
0.179,1.759,1.759,21.887,21.887,137.169,137.17,-6.275e-4,0,6.275e-4,270,0.021,0.531,28.61,-80.6,5.598,0,1.339,-5.501e-6,89.977,90,2361.208,321.208,0.417,8.367e-4,9.792,122.555,100.963,3.755,347.496,15.029,0.491,0.593,0.5,0.014,0.08,0.639,1.806,6.777,-2.941e-4,0,0,0,0,0.004,2.176,90,14.989,1013.044,0.001,340.382,0.065,2.519e6,5.75,25.967,0.023,0.012,0.003
0.202,2.294,2.294,25.014,25.014,136.889,136.89,-0.001,0,0.001,270,0.033,0.463,28.61,-80.6,4.718,0,2.337,0,89.935,90,2357.217,317.217,0.416,8.36e-4,9.792,123.609,100.868,3.955,346.375,15.006,0.616,0.582,0.488,0.014,0.08,0.615,1.474,5.82,3.851e-4,0,0,0,0,0.01,2.126,90,14.985,1012.981,0.001,340.38,0.074,2.874e6,5.75,25.967,0.004,0.013,0.003
0.206,2.397,2.397,25.57,25.57,136.839,136.84,-0.001,0,0.001,270,0.035,0.443,28.61,-80.6,4.578,0,2.526,6.646e-6,89.925,90,2356.506,316.506,0.416,8.359e-4,9.792,123.784,100.851,3.988,346.175,15.002,0.639,0.58,0.486,0.014,0.08,0.611,1.423,5.663,4.457e-4,0,0,0,0,0.011,2.116,90,14.984,1012.969,0.001,340.379,0.075,2.938e6,5.75,25.967,0.006,0.013,0.003
0.212,2.556,2.556,26.404,26.404,136.676,136.677,-0.002,0,0.002,270,0.037,0.409,28.61,-80.6,4.376,0,2.816,-4.067e-6,89.909,90,2355.453,315.453,0.415,8.357e-4,9.792,124.038,100.825,4.037,345.673,14.987,0.675,0.577,0.483,0.014,0.08,0.606,1.35,5.437,7.751e-5,0,0,0,0,0.013,2.1,90,14.983,1012.95,0.001,340.379,0.078,3.033e6,5.75,25.967,0.009,0.013,0.003
0.221,2.803,2.803,27.652,27.652,136.431,136.431,-0.002,0,0.002,270,0.041,0.348,28.61,-80.6,4.093,0,3.263,-6.92e-6,89.881,90,2353.872,313.872,0.415,8.354e-4,9.792,124.403,100.787,4.107,344.919,14.964,0.731,0.573,0.479,0.014,0.08,0.598,1.249,5.114,4.681e-4,0,0,0,0,0.016,2.077,90,14.982,1012.921,0.001,340.378,0.081,3.175e6,5.75,25.967,0.014,0.014,0.004
0.235,3.195,3.195,29.521,29.521,136.06,136.061,-0.003,0,0.003,270,0.045,0.234,28.61,-80.6,3.703,0,3.958,-1.233e-5,89.831,90,2351.501,311.501,0.414,8.35e-4,9.792,124.919,100.73,4.207,343.788,14.93,0.819,0.568,0.474,0.014,0.08,0.588,1.114,4.664,2.74e-4,0,0,0,0,0.021,2.043,90,14.979,1012.875,0.001,340.376,0.087,3.388e6,5.75,25.967,0.021,0.014,0.004
0.256,3.831,3.831,32.314,32.314,135.499,135.499,-0.004,-8.143e-9,0.004,270,0.047,0.01,28.61,-80.6,3.195,0,5.045,-8.702e-6,89.739,90,2347.944,307.944,0.413,8.343e-4,9.792,125.617,100.644,4.343,342.093,14.879,0.96,0.56,0.466,0.014,0.08,0.576,0.942,4.063,-3.572e-4,0,0,0,0,0.028,1.999,90,14.975,1012.801,0.001,340.374,0.095,3.707e6,5.75,25.967,0.01,0.015,0.004
0.266,4.177,4.177,33.732,33.732,135.211,135.211,-0.004,-1.005e-8,0.004,270,0.047,0.125,28.61,-80.6,2.976,0,5.616,2.286e-6,89.683,90,2346.132,306.132,0.412,8.34e-4,9.792,125.927,100.601,4.405,341.229,14.853,1.036,0.557,0.463,0.014,0.08,0.571,0.87,3.8,3.536e-4,0,0,0,0,0.032,1.988,90,14.973,1012.76,0.001,340.372,0.099,3.869e6,5.75,25.967,0.016,0.015,0.004
0.282,4.723,4.723,35.854,35.854,134.829,134.83,-0.005,-1.322e-8,0.005,270,0.043,0.362,28.61,-80.6,2.666,0,6.491,-1.34e-5,89.588,90,2343.452,303.452,0.412,8.335e-4,9.792,126.377,100.536,4.494,340.064,14.819,1.154,0.552,0.458,0.014,0.081,0.563,0.77,3.42,-1.093e-4,0,0,0,0,0.038,1.971,90,14.969,1012.696,0.001,340.37,0.105,4.111e6,5.75,25.967,0.024,0.016,0.005
0.305,5.606,5.606,39.025,39.025,134.248,134.251,-0.006,-1.833e-8,0.006,270,0.029,0.798,28.61,-80.6,2.233,0,7.818,9.205e-5,89.419,90,2339.432,299.432,0.41,8.328e-4,9.792,127.024,100.438,4.624,338.318,14.768,1.343,0.546,0.451,0.014,0.081,0.553,0.633,2.882,-4.81e-4,0,0,0,0,0.047,1.947,90,14.964,1012.593,0.001,340.367,0.115,4.473e6,5.75,25.967,0.02,0.016,0.005
0.325,6.401,6.401,41.667,41.667,133.755,133.761,-0.006,-2.433e-8,0.006,270,0.01,1.235,28.61,-80.6,1.897,0,8.914,2.04e-4,89.254,90,2336.07,296.07,0.409,8.322e-4,9.792,127.543,100.356,4.728,336.857,14.726,1.511,0.541,0.446,0.014,0.081,0.546,0.531,2.456,-3.248e-4,0,0,0,0,0.054,1.933,90,14.958,1012.499,0.001,340.364,0.123,4.775e6,5.75,25.967,0.03,0.016,0.005
0.355,7.692,7.692,45.615,45.615,133.269,133.285,-0.006,-4.289e-8,0.006,270,0.038,2.022,28.61,-80.6,1.411,0,10.458,1.762e-4,88.968,90,2331.082,291.082,0.407,8.313e-4,9.792,128.321,100.234,4.885,335.299,14.689,1.78,0.534,0.439,0.014,0.081,0.537,0.387,1.83,2.43e-4,0,0,0,0,0.061,1.908,90,14.95,1012.348,0.001,340.359,0.134,5.226e6,5.75,25.967,0.029,0.017,0.006
0.384,9.092,9.092,49.53,49.53,132.767,132.8,-0.003,-7.913e-8,0.003,269.999,0.111,2.956,28.61,-80.6,0.935,0,11.753,6.262e-5,88.64,90,2326.118,286.118,0.406,8.304e-4,9.792,129.116,100.112,5.044,333.748,14.652,2.068,0.528,0.433,0.014,0.081,0.53,0.251,1.202,-4.718e-4,0,0,0,0,0.066,1.874,90,14.941,1012.184,0.001,340.353,0.146,5.673e6,5.75,25.967,0.044,0.017,0.006
0.428,11.407,11.407,55.348,55.349,130.819,130.897,0.005,-1.691e-7,0.005,90.002,0.275,4.504,28.61,-80.6,0.319,0,12.942,6.765e-4,88.091,90.001,2318.782,278.782,0.403,8.291e-4,9.792,130.199,99.93,5.264,328.754,14.479,2.539,0.521,0.424,0.014,0.082,0.521,0.083,0.375,-3.982e-7,0,0,0,0,0.064,1.878,90,14.926,1011.912,0.001,340.344,0.163,6.338e6,5.75,25.967,0.016,0.018,0.007
