# Simulation 4 (Up to date)
# 690 data points written for 58 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (26.5 m/s):  "Parachute"
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,2694,654,0.469,8.968e-4,9.792,NaN,106.097,NaN,0,0,0,0.872,0.778,0.014,0.08,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.473,90,15,1013.25,0.001,340.389,0.007,2.832e5,5.75,25.967,0.01,0.003,0
0.01,0,0,0.002,0.002,1.325,1.326,0,0,0,0,4.027e-5,0.024,28.61,-80.6,89.948,0,0,0,90,0,2693.899,653.899,0.469,8.968e-4,9.792,NaN,106.095,NaN,29.95,1.135,0,0.873,0.78,0.014,0.08,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.452,90,15,1013.25,0.001,340.389,0.007,2.808e5,5.75,25.967,0.003,0.004,2.829e-7
0.013,2.296e-5,2.296e-5,0.013,0.013,5.148,5.148,-2.809e-7,0,2.809e-7,270,1.231e-4,0.024,28.61,-80.6,89.688,0,0,0,90,0,2693.864,653.864,0.469,8.968e-4,9.792,NaN,106.094,NaN,40.246,1.526,0,0.873,0.78,0.014,0.08,3.552e-7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.445,90,15,1013.25,0.001,340.389,0.007,2.8e5,5.75,25.967,0.005,0.005,1.708e-6
0.019,4.482e-4,4.482e-4,0.207,0.207,70.152,70.152,-1.234e-6,0,1.234e-6,270,2.465e-4,0.024,28.61,-80.6,85.129,0,0,0,90,0,2692.875,652.875,0.469,8.966e-4,9.792,NaN,106.078,NaN,215.279,8.164,1.217e-5,0.874,0.78,0.014,0.08,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.435,90,15,1013.25,0.001,340.389,0.007,2.798e5,5.75,25.967,0.008,0.005,2.656e-5
0.026,0.005,0.005,1.127,1.127,167.747,167.747,-3.877e-6,0,3.877e-6,270,4.422e-4,0.028,28.61,-80.6,65.004,0,0,0,90,0,2691.391,651.391,0.469,8.963e-4,9.792,NaN,106.054,NaN,477.829,18.131,0.002,0.858,0.765,0.014,0.08,0.133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.419,90,15,1013.249,0.001,340.389,0.008,3.056e5,5.75,25.967,0.007,0.006,1.444e-4
0.034,0.019,0.019,2.679,2.679,259.506,259.506,-7.959e-6,0,7.959e-6,270,8.583e-4,0.174,28.61,-80.6,41.887,0,0,0,90,0,2689.997,649.997,0.469,8.961e-4,9.792,NaN,106.031,NaN,724.425,27.502,0.013,0.809,0.716,0.014,0.08,0.609,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.404,90,15,1013.248,0.001,340.389,0.011,4.122e5,5.75,25.967,0.007,0.006,3.431e-4
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.043,0.043,4.495,4.495,281.033,281.033,-1.789e-5,0,1.789e-5,270,0.002,0,28.61,-80.6,27.978,0,0,0,90,0,2687.459,647.459,0.468,8.956e-4,9.792,NaN,105.99,NaN,781.616,29.701,0.036,0.758,0.665,0.014,0.08,0.877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.39,90,15,1013.245,0.001,340.389,0.015,5.83e5,5.75,25.967,0.01,0.007,5.756e-4
0.05,0.102,0.102,7.314,7.314,282.616,282.616,-3.93e-5,0,3.93e-5,270,0.002,0,28.61,-80.6,17.945,0,0,0,90,0,2683.521,643.521,0.467,8.949e-4,9.792,NaN,105.926,NaN,784.769,29.865,0.086,0.704,0.611,0.014,0.08,0.915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.371,90,14.999,1013.238,0.001,340.388,0.023,8.805e5,5.75,25.967,0.01,0.008,9.364e-4
0.06,0.19,0.19,10.192,10.192,284.225,284.225,-6.104e-5,0,6.104e-5,270,0.002,0,28.61,-80.6,13.162,0,0,0,90,0,2679.522,639.522,0.467,8.942e-4,9.792,NaN,105.86,NaN,787.971,30.031,0.147,0.668,0.575,0.014,0.08,0.842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.386,90,14.999,1013.228,0.001,340.388,0.031,1.199e6,5.75,25.967,0.01,0.008,0.001
0.07,0.304,0.304,12.936,12.936,275.002,275.002,-8.204e-5,0,8.204e-5,270,0.002,0,28.61,-80.6,10.501,0,0,0,90,0,2675.83,635.83,0.466,8.935e-4,9.792,NaN,105.8,NaN,762.274,29.092,0.213,0.643,0.55,0.014,0.08,0.773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,90,14.998,1013.214,0.001,340.388,0.039,1.507e6,5.75,25.967,0.008,0.009,0.002
0.078,0.412,0.412,15.033,15.033,267.716,267.716,-9.859e-5,0,9.859e-5,270,0.002,0,28.61,-80.6,9.104,0,0,0,90,0,2672.922,632.922,0.465,8.93e-4,9.792,NaN,105.752,NaN,742.027,28.35,0.27,0.628,0.535,0.014,0.08,0.733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.411,90,14.997,1013.202,0.001,340.387,0.045,1.744e6,5.75,25.967,0.007,0.009,0.002
0.085,0.518,0.518,16.793,16.793,261.432,261.432,-1.128e-4,0,1.128e-4,270,0.002,0,28.61,-80.6,8.196,0,0,0,90,0,2670.419,630.419,0.465,8.925e-4,9.792,NaN,105.71,NaN,724.606,27.71,0.323,0.618,0.524,0.014,0.08,0.705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.421,90,14.997,1013.189,0.001,340.387,0.05,1.943e6,5.75,25.967,0.005,0.009,0.002
0.09,0.604,0.604,18.069,18.069,256.775,256.775,-1.234e-4,0,1.234e-4,270,0.002,0,28.61,-80.6,7.647,0,0,0,90,0,2668.567,628.567,0.464,8.922e-4,9.792,NaN,105.68,NaN,711.716,27.236,0.364,0.611,0.517,0.014,0.08,0.689,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.428,90,14.996,1013.179,0.001,340.387,0.054,2.088e6,5.75,25.967,0.006,0.01,0.002
0.095,0.708,0.708,19.487,19.487,255.773,255.773,-1.352e-4,0,1.352e-4,270,0.002,0,28.61,-80.6,7.12,0,0,0,90,0,2666.626,626.626,0.464,8.919e-4,9.792,NaN,105.648,NaN,708.575,27.136,0.412,0.604,0.51,0.014,0.08,0.672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.436,90,14.995,1013.167,0.001,340.386,0.058,2.249e6,5.75,25.967,0.005,0.011,0.002
0.1,0.811,0.811,20.797,20.797,254.842,254.842,-1.462e-4,0,1.462e-4,270,0.002,0,28.61,-80.6,6.693,0,0,0,90,0,2664.826,624.826,0.464,8.915e-4,9.792,NaN,105.618,NaN,705.663,27.043,0.46,0.598,0.504,0.014,0.08,0.659,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.443,90,14.995,1013.155,0.001,340.386,0.062,2.398e6,5.75,25.967,0.005,0.011,0.003
0.105,0.914,0.914,22.02,22.02,253.967,253.967,-1.565e-4,0,1.565e-4,270,0.002,0,28.61,-80.6,6.295,0,0,0,90,0,2663.14,623.14,0.463,8.912e-4,9.792,NaN,105.59,NaN,702.934,26.955,0.506,0.593,0.499,0.014,0.08,0.648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.431,90,14.994,1013.143,0.001,340.385,0.065,2.537e6,5.75,25.967,0.005,0.012,0.003
# Event LAUNCHROD occurred at t=0.11 seconds
0.11,1.017,1.017,23.172,23.172,253.14,253.141,-1.662e-4,0,1.662e-4,270,0.002,0.634,28.61,-80.6,5.959,0,0,0,90,0,2661.547,621.547,0.463,8.909e-4,9.792,122.146,105.563,2.884,700.357,26.872,0.551,0.588,0.495,0.014,0.08,0.638,1.947,5.615,-3.465e-4,0,0,0,0,0,2.421,90,14.993,1013.131,0.001,340.385,0.068,2.668e6,5.75,25.967,0.007,0.013,0.003
0.116,1.18,1.18,24.892,24.892,251.896,251.897,-1.957e-4,0,1.957e-4,270,0.007,0.661,28.61,-80.6,5.503,0,0.245,-2.235e-6,89.999,90.001,2659.158,619.158,0.462,8.905e-4,9.792,122.669,105.523,2.982,696.492,26.748,0.622,0.582,0.488,0.014,0.08,0.625,1.769,5.275,1.79e-4,0,0,0,0,1.124e-4,2.405,90,14.992,1013.112,0.001,340.384,0.073,2.864e6,5.75,25.967,0.01,0.014,0.003
0.127,1.448,1.448,27.456,27.456,250.023,250.024,-2.977e-4,0,2.977e-4,270,0.013,0.684,28.61,-80.6,4.923,0,0.648,1.526e-5,89.995,90.001,2655.574,615.574,0.462,8.899e-4,9.792,123.361,105.464,3.113,690.693,26.561,0.735,0.574,0.48,0.014,0.08,0.609,1.55,4.823,-3.032e-4,0,0,0,0,6.487e-4,2.381,90,14.991,1013.08,0.001,340.383,0.081,3.156e6,5.75,25.967,0.008,0.015,0.004
0.134,1.668,1.668,29.387,29.387,248.597,248.598,-4.225e-4,0,4.225e-4,270,0.019,0.687,28.61,-80.6,4.549,0,0.982,1.62e-5,89.988,90.001,2652.857,612.857,0.461,8.894e-4,9.792,123.824,105.418,3.201,686.297,26.419,0.827,0.568,0.474,0.014,0.08,0.598,1.412,4.52,2.225e-4,0,0,0,0,0.001,2.363,90,14.989,1013.054,0.001,340.382,0.087,3.376e6,5.75,25.967,0.012,0.016,0.004
