# Simulation 5 (Up to date)
# 825 data points written for 58 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (27.2 m/s):  "Parachute"
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,3120,1080,0.48,9.737e-4,9.792,NaN,108.091,NaN,0,0,0,0.934,0.841,0.014,0.08,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.773,90,15,1013.25,0.001,340.389,0.005,2.031e5,5.75,25.967,0.01,0.002,0
0.01,0.001,0.001,0.448,0.448,96.068,96.068,-3.466e-7,0,3.466e-7,270,8.756e-5,0.011,28.61,-80.6,75.851,0,0,0,90,0,3117.039,1077.039,0.479,9.732e-4,9.792,NaN,108.062,NaN,329.97,10.811,1.6e-4,0.927,0.834,0.014,0.08,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.775,90,15,1013.25,0.001,340.389,0.005,2.097e5,5.75,25.967,0.01,0.004,5.73e-5
0.02,0.012,0.012,1.938,1.938,202.127,202.127,-1.866e-6,0,1.866e-6,270,3.344e-4,0.082,28.61,-80.6,42.52,0,0,0,90,0,3114.079,1074.079,0.479,9.726e-4,9.792,NaN,108.033,NaN,659.94,21.642,0.007,0.861,0.768,0.014,0.08,0.631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.778,90,15,1013.249,0.001,340.389,0.008,3.012e5,5.75,25.967,0.012,0.004,2.482e-4
# Event LIFTOFF occurred at t=0.032 seconds
0.032,0.053,0.053,5.129,5.129,329.655,329.655,-1.271e-5,0,1.271e-5,270,0.002,0,28.61,-80.6,19.129,0,0,0,90,0,3110.526,1070.526,0.479,9.72e-4,9.792,NaN,107.999,NaN,1055.904,34.667,0.045,0.749,0.656,0.014,0.08,0.969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.78,90,15,1013.244,0.001,340.389,0.016,6.217e5,5.75,25.967,0.01,0.005,6.567e-4
0.042,0.121,0.121,8.389,8.389,322.366,322.366,-2.853e-5,0,2.853e-5,270,0.002,0,28.61,-80.6,11.987,0,0,0,90,0,3105.138,1065.138,0.478,9.71e-4,9.792,NaN,107.946,NaN,1031.498,33.924,0.1,0.691,0.598,0.014,0.08,0.855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.783,90,14.999,1013.236,0.001,340.388,0.025,9.822e5,5.75,25.967,0.01,0.005,0.001
0.052,0.221,0.221,11.576,11.576,315.049,315.049,-4.436e-5,0,4.436e-5,270,0.002,0,28.61,-80.6,8.755,0,0,0,90,0,3099.751,1059.751,0.477,9.7e-4,9.792,NaN,107.893,NaN,1007.093,33.179,0.165,0.656,0.562,0.014,0.08,0.758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.784,90,14.999,1013.224,0.001,340.388,0.034,1.341e6,5.75,25.967,0.009,0.005,0.001
0.061,0.333,0.333,14.27,14.27,308.704,308.704,-5.803e-5,0,5.803e-5,270,0.002,0,28.61,-80.6,7.118,0,0,0,90,0,3095.097,1055.097,0.477,9.692e-4,9.792,NaN,107.847,NaN,986.01,32.533,0.232,0.634,0.541,0.014,0.08,0.706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.783,90,14.998,1013.211,0.001,340.388,0.042,1.647e6,5.75,25.967,0.007,0.006,0.002
0.068,0.44,0.44,16.415,16.415,303.541,303.541,-6.912e-5,0,6.912e-5,270,0.002,0,28.61,-80.6,6.193,0,0,0,90,0,3091.321,1051.321,0.476,9.685e-4,9.792,NaN,107.81,NaN,968.907,32.008,0.293,0.62,0.527,0.014,0.08,0.676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.783,90,14.997,1013.198,0.001,340.387,0.049,1.891e6,5.75,25.967,0.006,0.006,0.002
0.074,0.546,0.546,18.251,18.251,299.041,299.041,-7.876e-5,0,7.876e-5,270,0.002,0,28.61,-80.6,5.572,0,0,0,90,0,3088.039,1048.039,0.476,9.679e-4,9.792,NaN,107.778,NaN,954.04,31.55,0.351,0.61,0.517,0.014,0.08,0.656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.782,90,14.996,1013.186,0.001,340.387,0.054,2.1e6,5.75,25.967,0.005,0.006,0.002
0.079,0.65,0.65,19.878,19.878,294.984,294.984,-8.743e-5,0,8.743e-5,270,0.002,0,28.61,-80.6,5.117,0,0,0,90,0,3085.087,1045.087,0.475,9.674e-4,9.792,NaN,107.749,NaN,940.667,31.138,0.406,0.602,0.509,0.014,0.08,0.642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.781,90,14.996,1013.174,0.001,340.386,0.059,2.286e6,5.75,25.967,0.005,0.009,0.003
0.084,0.754,0.754,21.353,21.353,291.251,291.251,-9.539e-5,0,9.539e-5,270,0.002,0,28.61,-80.6,4.764,0,0,0,90,0,3082.377,1042.377,0.475,9.669e-4,9.792,NaN,107.722,NaN,928.39,30.759,0.46,0.596,0.502,0.014,0.08,0.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.781,90,14.995,1013.162,0.001,340.386,0.063,2.454e6,5.75,25.967,0.005,0.01,0.003
0.089,0.857,0.857,22.709,22.709,287.77,287.77,-1.028e-4,0,1.028e-4,270,0.002,0,28.61,-80.6,4.479,0,0,0,90,0,3079.854,1039.854,0.475,9.664e-4,9.792,NaN,107.697,NaN,916.96,30.405,0.512,0.59,0.497,0.014,0.08,0.621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.78,90,14.994,1013.149,0.001,340.386,0.067,2.609e6,5.75,25.967,0.004,0.01,0.003
0.093,0.96,0.96,23.969,23.969,284.491,284.491,-1.098e-4,0,1.098e-4,270,0.002,0,28.61,-80.6,4.243,0,0,0,90,0,3077.482,1037.482,0.475,9.66e-4,9.792,NaN,107.673,NaN,906.213,30.072,0.563,0.585,0.492,0.014,0.08,0.613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.78,90,14.994,1013.137,0.001,340.385,0.071,2.753e6,5.75,25.967,0.004,0.011,0.003
# Event LAUNCHROD occurred at t=0.098 seconds
0.098,1.062,1.062,25.149,25.149,281.378,281.379,-1.164e-4,0,1.164e-4,270,0.002,0.408,28.61,-80.6,4.044,0,0,0,90,0,3075.234,1035.234,0.474,9.656e-4,9.792,124.464,107.65,2.924,896.03,29.755,0.613,0.581,0.487,0.014,0.08,0.606,1.232,3.602,-4.492e-5,0,0,0,0,0,1.78,90,14.993,1013.125,0.001,340.385,0.074,2.887e6,5.75,25.967,0.006,0.012,0.003
0.104,1.225,1.225,26.895,26.895,276.701,276.701,-1.344e-4,0,1.344e-4,270,0.004,0.431,28.61,-80.6,3.79,0,0.165,1.543e-5,89.999,90.005,3071.862,1031.862,0.474,9.65e-4,9.792,124.8,107.617,2.988,880.757,29.28,0.69,0.576,0.482,0.014,0.08,0.597,1.143,3.417,-1.524e-4,0,0,0,0,4.387e-5,1.786,90,14.992,1013.106,0.001,340.384,0.079,3.087e6,5.75,25.967,0.006,0.012,0.003
0.11,1.398,1.398,28.606,28.606,272.029,272.029,-1.692e-4,0,1.692e-4,270,0.007,0.45,28.61,-80.6,3.58,0,0.343,1.55e-5,89.998,90.004,3068.503,1028.503,0.473,9.644e-4,9.792,125.084,107.583,3.044,865.54,28.806,0.771,0.57,0.476,0.014,0.08,0.59,1.071,3.261,-2.112e-4,0,0,0,0,1.677e-4,1.798,90,14.991,1013.086,0.001,340.383,0.084,3.282e6,5.75,25.967,0.009,0.013,0.004
0.119,1.678,1.678,31.142,31.142,270.266,270.266,-2.542e-4,0,2.542e-4,270,0.011,0.466,28.61,-80.6,3.308,0,0.635,2.143e-5,89.993,90.003,3064.057,1024.057,0.473,9.636e-4,9.792,125.458,107.539,3.116,859.01,28.63,0.898,0.563,0.469,0.014,0.08,0.58,0.98,3.053,-3.647e-4,0,0,0,0,4.863e-4,1.815,90,14.989,1013.053,0.001,340.382,0.092,3.572e6,5.75,25.967,0.014,0.014,0.004
0.133,2.141,2.141,34.915,34.915,267.606,267.606,-4.581e-4,0,4.581e-4,270,0.018,0.465,28.61,-80.6,2.97,0,1.131,2.475e-5,89.981,90.002,3057.388,1017.388,0.472,9.624e-4,9.792,125.937,107.471,3.211,849.216,28.365,1.103,0.554,0.46,0.014,0.081,0.568,0.868,2.787,3.377e-4,0,0,0,0,0.001,1.841,90,14.986,1012.999,0.001,340.38,0.103,4.004e6,5.75,25.967,0.021,0.014,0.004
0.154,2.935,2.935,40.504,40.504,263.584,263.584,-9.322e-4,0,9.322e-4,270,0.027,0.386,28.61,-80.6,2.544,0,2.001,5.763e-6,89.948,90.001,3047.384,1007.384,0.471,9.606e-4,9.792,126.561,107.37,3.338,834.524,27.966,1.445,0.543,0.448,0.014,0.081,0.553,0.731,2.438,-4.247e-4,0,0,0,0,0.003,1.863,90,14.981,1012.906,0.001,340.377,0.119,4.643e6,5.75,25.967,0.007,0.015,0.005
0.161,3.207,3.207,42.233,42.233,262.319,262.319,-0.001,-5.196e-9,0.001,270,0.029,0.334,28.61,-80.6,2.404,0,2.3,3.738e-5,89.934,90.001,3044.258,1004.258,0.47,9.6e-4,9.792,126.771,107.338,3.38,829.933,27.841,1.559,0.54,0.445,0.014,0.081,0.549,0.687,2.319,-3.978e-5,0,0,0,0,0.003,1.851,90,14.979,1012.874,0.001,340.376,0.124,4.84e6,5.75,25.967,0.01,0.016,0.005
0.171,3.636,3.636,44.817,44.817,261.573,261.573,-0.001,-8.115e-9,0.001,270,0.032,0.236,28.61,-80.6,2.211,0,2.766,1.702e-5,89.909,90.001,3039.766,999.766,0.47,9.592e-4,9.792,127.067,107.292,3.439,826.619,27.771,1.736,0.535,0.44,0.014,0.081,0.543,0.627,2.152,2.064e-4,0,0,0,0,0.004,1.833,90,14.976,1012.824,0.001,340.375,0.132,5.136e6,5.75,25.967,0.015,0.017,0.006
0.186,4.328,4.328,48.679,48.679,260.444,260.444,-0.002,-1.435e-8,0.002,270,0.034,0.039,28.61,-80.6,1.948,0,3.5,-2.105e-6,89.863,90.001,3033.027,993.027,0.469,9.58e-4,9.792,127.477,107.223,3.522,821.649,27.665,2.019,0.53,0.434,0.014,0.081,0.535,0.546,1.918,-9.212e-5,0,0,0,0,0.006,1.806,90,14.972,1012.742,0.001,340.372,0.143,5.577e6,5.75,25.967,0.022,0.018,0.006
0.208,5.472,5.472,54.44,54.44,258.728,258.729,-0.003,-2.825e-8,0.003,269.999,0.031,0.359,28.61,-80.6,1.619,0,4.66,1.293e-4,89.773,90.001,3022.92,982.92,0.468,9.562e-4,9.792,128.003,107.119,3.632,814.194,27.506,2.48,0.522,0.426,0.014,0.082,0.526,0.448,1.621,-1.792e-4,0,0,0,0,0.009,1.786,90,14.964,1012.608,0.001,340.367,0.16,6.236e6,5.75,25.967,0.033,0.019,0.007
0.241,7.427,7.427,63.01,63.01,256.105,256.108,-0.003,-6.782e-8,0.003,269.999,0.006,1.204,28.61,-80.6,1.231,0,6.503,3.794e-4,89.587,90.001,3007.758,967.758,0.466,9.534e-4,9.792,128.652,106.962,3.772,803.01,27.265,3.25,0.512,0.415,0.015,0.083,0.515,0.336,1.253,-2.066e-4,0,0,0,0,0.012,1.814,90,14.952,1012.379,0.001,340.36,0.185,7.216e6,5.75,25.967,0.026,0.02,0.008
0.267,9.142,9.142,69.605,69.605,254.025,254.034,-0.003,-1.424e-7,0.003,269.997,0.036,2.106,28.61,-80.6,0.934,0,7.919,2.4e-4,89.4,90.002,2995.983,955.983,0.464,9.513e-4,9.792,129.163,106.839,3.883,794.325,27.076,3.909,0.506,0.408,0.015,0.083,0.507,0.252,0.962,-2.607e-4,0,0,0,0,0.015,1.827,90,14.941,1012.178,0.001,340.353,0.205,7.969e6,5.75,25.967,0.039,0.02,0.009
