# Simulation 6 (Up to date)
# 783 data points written for 58 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (26.9 m/s):  "Parachute"
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,2915,875,0.478,9.367e-4,9.792,NaN,107.575,NaN,0,0,0,0.938,0.844,0.014,0.08,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.739,90,15,1013.25,0.001,340.389,0.005,1.992e5,5.75,25.967,0.006,0.002,0
0.006,7.982e-4,7.982e-4,0.409,0.409,142.842,142.842,-1.269e-7,0,1.269e-7,270,5.326e-5,0.011,28.61,-80.6,76.677,0,0,0,90,0,2914.307,874.307,0.478,9.366e-4,9.792,NaN,107.567,NaN,444.822,15.587,1.276e-4,0.934,0.84,0.014,0.08,0.025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.727,90,15,1013.25,0.001,340.389,0.005,2.032e5,5.75,25.967,0.008,0.004,5.235e-5
0.014,0.01,0.01,2.163,2.163,295.763,295.763,-9.799e-7,0,9.799e-7,270,2.579e-4,0.084,28.61,-80.6,38.331,0,0,0,90,0,2911.533,871.533,0.477,9.361e-4,9.792,NaN,107.532,NaN,889.644,31.204,0.009,0.853,0.759,0.014,0.08,0.738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.71,90,15,1013.249,0.001,340.389,0.008,3.158e5,5.75,25.967,0.003,0.004,2.77e-4
0.017,0.017,0.017,3.042,3.042,379.062,379.062,-1.899e-6,0,1.899e-6,270,4.83e-4,0.097,28.61,-80.6,29.27,0,0,0,90,0,2910.144,870.144,0.477,9.358e-4,9.792,NaN,107.515,NaN,1131.639,39.711,0.018,0.814,0.721,0.014,0.08,0.917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.705,90,15,1013.248,0.001,340.389,0.01,3.994e5,5.75,25.967,0.003,0.006,3.895e-4
# Event LIFTOFF occurred at t=0.019 seconds
0.019,0.026,0.026,4.032,4.032,398.708,398.708,-3.427e-6,0,3.427e-6,270,7.471e-4,0,28.61,-80.6,22.857,0,0,0,90,0,2908.679,868.679,0.477,9.355e-4,9.792,NaN,107.497,NaN,1188.227,41.718,0.03,0.78,0.687,0.014,0.08,0.979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7,90,15,1013.247,0.001,340.389,0.013,5.011e5,5.75,25.967,0.004,0.007,5.162e-4
0.023,0.043,0.043,5.492,5.492,379.976,379.976,-6.229e-6,0,6.229e-6,270,7.471e-4,0,28.61,-80.6,17.124,0,0,0,90,0,2906.493,866.493,0.476,9.352e-4,9.792,NaN,107.469,NaN,1132.91,39.806,0.051,0.742,0.648,0.014,0.08,0.964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.693,90,15,1013.245,0.001,340.389,0.017,6.582e5,5.75,25.967,0.006,0.008,7.032e-4
0.029,0.085,0.085,7.769,7.769,348.693,348.693,-1.09e-5,0,1.09e-5,270,7.471e-4,0,28.61,-80.6,12.197,0,0,0,90,0,2902.849,862.849,0.476,9.345e-4,9.792,NaN,107.424,NaN,1040.716,36.612,0.087,0.7,0.607,0.014,0.08,0.869,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.68,90,14.999,1013.24,0.001,340.389,0.023,9.104e5,5.75,25.967,0.01,0.008,9.947e-4
0.039,0.181,0.181,11.38,11.38,373.5,373.5,-1.837e-5,0,1.837e-5,270,7.471e-4,0,28.61,-80.6,8.295,0,0,0,90,0,2897.259,857.259,0.475,9.335e-4,9.792,NaN,107.354,NaN,1110.656,39.148,0.158,0.658,0.564,0.014,0.08,0.753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.66,90,14.999,1013.229,0.001,340.388,0.034,1.317e6,5.75,25.967,0.008,0.008,0.001
0.047,0.283,0.283,14.316,14.316,360.537,360.537,-2.435e-5,0,2.435e-5,270,7.471e-4,0,28.61,-80.6,6.546,0,0,0,90,0,2892.723,852.723,0.474,9.327e-4,9.792,NaN,107.297,NaN,1071.489,37.827,0.23,0.634,0.541,0.014,0.08,0.697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.644,90,14.998,1013.217,0.001,340.388,0.042,1.65e6,5.75,25.967,0.009,0.009,0.002
