t_s,alt_m
0.04375,0.421184832
0.09375,0.421184832
0.14375,0.421184832
0.19375,0.421184832
0.24375,0.421184832
0.295,0.788490168
0.345,1.15311936
0.395,1.15311936
0.445,1.882377744
0.495,2.9789445120000004
0.545,4.44014352
0.595,5.903945520000001
0.645,8.09707296
0.695,11.38668792
0.745,15.046299600000001
0.795,19.43776656
0.845,24.92849472
0.895,31.1563512
0.945,37.754052
0.995,44.72178
1.045,52.7992848
1.095,60.8795328
1.145,70.07199600000001
1.195,80.7442632
1.245,91.42963680000001
1.295,101.7556512
1.345,112.46236080000001
1.395,123.9167448
1.445,123.54671760000001
1.495,125.3965488
1.545,127.6161024
1.595,130.945128
1.645,135.3869784
1.695,139.8312672
1.745,142.7933136
1.795,149.8348032
1.845,152.05984320000002
1.895,152.05984320000002
1.945,147.610068
1.995,137.239248
2.045,131.6851824
2.095,134.646924
2.145,133.9071744
2.195,138.7187472
2.245,145.7577984
2.295,154.657044
2.345,165.0467616
2.395,178.42199520000003
2.445,189.58041839999999
2.495,205.2227544
2.545,220.51639920000002
2.595,234.33816480000002
2.645,249.67661520000001
2.695,266.5372368
2.745,283.0513008
2.795,301.0957656
2.845,319.174368
2.895,344.838528
2.945,376.632216
2.995,408.52648800000003
3.045,438.613296
3.095,473.000832
3.145,500.591328
3.195,526.721832
3.245,552.919392
3.295,575.319144
3.345,598.1517120000001
3.395,619.874808
3.445,640.8694320000001
3.495,661.90368
3.545,681.810168
3.595,701.3661360000001
3.645,720.1753440000001
3.695,738.624888
3.745,756.7178160000001
3.795,774.051792
3.845,792.20568
3.895,809.603664
3.945,825.8434080000001
3.995,842.1044880000001
4.045,858.7953360000001
4.095,875.510568
4.145,891.8539440000001
4.195,907.825464
4.245,923.4251280000001
4.295,939.0461280000001
4.345,954.6915120000001
4.395,969.9589440000001
4.445,985.25076
4.495,1001.3716320000001
4.545,1015.096776
4.595,1029.6509760000001
4.645,1045.0342320000002
4.695,1060.441872
4.745,1075.0570320000002
4.795,1087.66356
4.845,1101.91296
4.895,1117.4120400000002
4.945,1130.8872480000002
4.995,1144.380744
5.045,1157.892528
5.095,1171.83408
5.145,1185.796968
5.195,1199.363616
5.245,1213.3661280000001
5.295,1227.798408
5.345,1241.011488
5.395,1253.4138
5.445,1266.6604080000002
5.495,1279.928352
5.545,1293.211536
5.595,1306.5130080000001
5.645,1319.832768
5.695,1331.9180880000001
5.745,1344.433176
5.795,1357.804752
5.845,1370.7739920000001
5.895,1382.9233199999999
5.945,1395.0848400000002
5.995,1407.6822240000001
6.045,1419.8772720000002
6.095,1431.6638880000003
6.145,1444.306992
6.195,1456.1240880000003
6.245,1467.9564240000002
6.295,1480.6482960000003
6.345,1492.505016
6.395,1503.956352
6.445,1515.8466
6.495,1527.3192720000002
6.545,1539.236952
6.595,1550.743152
6.645,1562.2584960000002
6.695,1573.3654080000001
6.745,1584.9081840000001
6.795,1596.0394800000001
6.845,1606.750152
6.895,1617.9058320000001
6.945,1629.073704
6.995,1640.25072
7.045,1651.013208
7.095,1662.2176560000003
7.145,1673.004528
7.195,1683.803592
7.245,1693.7461680000001
7.295,1704.566568
7.345,1715.831976
7.395,1726.67676
7.445,1736.6650560000003
7.495,1747.09836
7.545,1757.5408080000002
7.595,1767.9954480000001
7.645,1778.4622800000002
7.695,1788.502392
7.745,1798.99056
7.795,1809.49092
7.845,1819.1256480000002
7.895,1828.76952
7.945,1838.861448
7.995,1848.965568
8.045,1858.6368720000003
8.095,1868.7592800000002
8.145,1878.45192
8.195,1888.153704
8.245,1897.42572
8.295,1907.14884
8.345,1916.8780560000002
8.395,1926.177504
8.445,1935.483048
8.495,1944.797736
8.545,1954.121568
8.595,1963.454544
8.645,1972.7966640000002
8.695,1981.70292
8.745,1991.5113840000001
8.795,2000.429832
8.845,2009.3635199999999
8.895,2018.3002560000002
8.945,2026.801128
8.995,2035.7592000000002
9.045,2044.72032
9.095,2053.690584
9.145,2062.67304
9.195,2071.658544
9.245,2080.208184
9.295,2088.7608720000003
9.345,2097.322704
9.395,2105.890632
9.445,2114.467704
9.495,2123.505024
9.545,2131.643184
9.595,2139.790488
9.645,2147.9438880000002
9.695,2156.103384
9.745,2164.2720240000003
9.795,2172.443712
9.845,2181.078696
9.895,2189.268672
9.945,2197.464744
9.995,2205.209712
10.045,2213.417976
10.095,2221.175136
10.145,2228.94144
10.195,2237.17104
10.245,2244.949536
10.295,2252.734128
10.345,2260.521768
10.395,2267.861352
10.445,2275.664232
10.495,2283.4732080000003
10.545,2291.28828
10.595,2298.6492000000003
10.645,2306.016216
10.695,2313.389328
10.745,2321.225736
10.795,2328.6110400000002
10.845,2336.00244
10.895,2342.9335920000003
10.945,2350.334136
10.995,2357.27748
11.045,2364.690216
11.095,2372.106
11.145,2379.52788
11.195,2386.49256
11.245,2393.0000400000004
11.295,2400.43716
11.345,2407.41708
11.395,2413.936752
11.445,2420.925816
11.495,2427.920976
11.545,2434.4528400000004
11.595,2441.457144
11.645,2448.467544
11.695,2455.0116000000003
11.745,2461.561752
11.795,2468.118
11.845,2474.6772960000003
11.895,2481.2426880000003
11.945,2487.811128
11.995,2494.3826160000003
12.045,2500.9602
12.095,2507.0714399999997
12.145,2513.661216
12.195,2519.778552
12.245,2525.901984
12.295,2532.500904
12.345,2538.6334800000004
12.395,2545.2415440000004
12.445,2551.380216
12.495,2557.524984
12.545,2563.6728000000003
12.595,2569.351224
12.645,2575.5081840000003
12.695,2581.6681920000005
12.745,2587.8312480000004
12.795,2593.997352
12.845,2599.6940640000003
12.895,2605.3938239999998
12.945,2611.096632
12.995,2616.805536
13.045,2622.51444
13.095,2628.70188
13.145,2634.4199280000003
13.195,2639.662488
13.245,2645.386632
13.295,2650.635288
13.345,2656.3685760000003
13.395,2662.101864
13.445,2667.8382
13.495,2673.099048
13.545,2678.3629440000004
13.595,2684.111472
13.645,2689.381464
13.695,2694.654504
13.745,2699.9305920000006
13.795,2704.731192
13.845,2710.0133760000003
13.895,2715.298608
13.945,2720.105304
13.995,2725.393584
14.045,2730.691008
14.095,2735.985384
14.145,2741.285856
14.195,2746.104744
14.245,2751.411312
14.295,2756.2362960000005
14.345,2761.0643280000004
14.395,2765.8923600000003
14.445,2770.726488
14.495,2775.560616
14.545,2780.397792
14.595,2785.2380160000002
14.645,2790.081288
14.695,2794.4399280000002
14.745,2799.2892960000004
14.795,2803.6540320000004
14.845,2808.018768
14.895,2812.874232
14.945,2817.242016
14.995,2822.1035760000004
15.045,2826.477456
15.095,2831.3390160000004
15.145,2835.72204
15.195,2840.5866480000004
15.245,2844.4819920000004
15.295,2848.8680640000002
15.345,2853.254136
15.395,2857.1586239999997
15.445,2861.5507920000005
15.495,2865.9399120000003
15.545,2869.847448
15.595,2873.754984
15.645,2878.153248
15.695,2882.5545600000005
15.745,2886.4681920000003
15.795,2890.381824
15.845,2894.789232
15.895,2898.7089600000004
15.945,2902.628688
15.995,2906.551464
16.045,2910.47424
16.095,2914.3970160000003
16.145,2918.32284
16.195,2921.760984
16.245,2925.689856
16.295,2929.128
16.345,2933.062968
16.395,2936.997936
16.445,2940.4391280000004
16.495,2944.3771440000005
16.545,2947.8244320000003
16.595,2951.7654960000004
