t_s,alt_m
0.04375,0.41724072
0.09375,0.41724072
0.14375,0.41724072
0.19375,0.41724072
0.24375,0.781869912
0.295,2.245668864
0.345,3.7068556800000003
0.395,5.53535088
0.445,8.095731840000001
0.495,11.0233968
0.545,14.68562976
0.595,19.811634240000004
0.645,26.039551680000002
0.695,33.3719424
0.745,40.344852
0.795,46.9532208
0.845,50.2587768
0.895,55.403496000000004
0.945,60.9179376
0.995,66.8048448
1.045,73.0617792
1.095,79.3242
1.145,85.9563432
1.195,92.59610640000001
1.245,99.9762288
1.295,107.7312552
1.345,115.4945112
1.395,123.25990080000001
1.445,130.6637976
1.495,138.81536880000002
1.545,148.8243912
1.595,158.8437768
1.645,171.10679520000002
1.695,185.61558000000002
1.745,200.1457008
1.795,216.1894584
1.845,233.3801784
1.895,250.6001592
1.945,267.1011168
1.995,283.2509448
2.045,299.4269856
2.095,324.3072
2.145,351.513648
2.195,375.385584
2.245,396.267432
2.295,416.814
2.345,438.16524
2.395,460.327248
2.445,485.60431200000005
2.495,507.485904
2.545,524.4114480000001
2.595,538.663896
2.645,551.776392
2.695,557.957736
2.745,564.9102240000001
2.795,573.0300960000001
2.845,581.930256
2.895,591.226656
2.945,600.919296
2.995,611.785416
3.045,622.663728
3.095,634.721616
3.145,647.1818400000001
3.195,659.26716
3.245,671.7609120000001
3.295,683.876712
3.345,696.4009440000001
3.395,708.937368
3.445,721.8822240000001
3.495,734.058984
3.545,747.433608
3.595,760.4272320000001
3.645,772.25652
3.695,784.497288
3.745,796.750248
3.795,809.8109280000001
3.845,821.3018880000001
3.895,833.59752
3.945,845.5152
3.995,857.841312
4.045,869.7864240000001
4.095,882.146064
4.145,894.1186080000001
4.195,906.50568
4.245,918.1094160000001
4.295,930.12768
4.345,942.1581360000001
4.395,954.2038320000001
4.445,965.8624320000001
4.495,977.5332240000001
4.545,989.219256
4.595,1000.5151440000001
4.645,1011.8201760000001
4.695,1023.54888
4.745,1034.884392
4.795,1046.2290480000001
4.845,1057.994328
4.895,1069.774848
4.945,1081.570608
4.995,1093.37856
5.045,1105.607136
5.095,1117.034088
5.145,1128.47628
5.195,1139.519184
5.245,1150.988808
5.295,1162.059144
5.345,1173.141672
5.395,1183.824912
5.445,1194.931824
5.495,1206.050928
5.545,1216.3562160000001
5.595,1227.085176
5.645,1237.8293760000001
5.695,1248.579672
5.745,1258.933728
5.795,1269.708408
5.845,1280.0838
5.895,1290.465288
5.945,1300.862016
5.995,1311.267888
6.045,1321.265328
6.095,1331.278008
6.145,1341.2967840000001
6.195,1351.745328
6.245,1361.78544
6.295,1371.41712
6.345,1381.057944
6.395,1390.7079119999999
6.445,1400.7876480000002
6.495,1410.879576
6.545,1420.556976
6.595,1429.825944
6.645,1439.101008
6.695,1448.3852160000001
6.745,1458.525912
6.795,1467.8314560000001
6.845,1476.7194240000001
6.895,1485.616536
6.945,1494.943416
6.995,1504.2824880000003
7.045,1513.630704
7.095,1522.5582960000002
7.145,1531.4980800000003
